id,pH,EC,OC,N,P,K,S,Ca,Mg,Zn,Cu,Fe,Mn,B,Mo,Tex,District,label
1105,6.792678214,1.268158361,22.79391069,290.1585884,15.43002474,169.5109461,848.0098976,111,1.672579238,0.874866267,20.89235183,10.15858844,6.82,0.743366325,0.718059385,15,1,1
1106,6.174617145,1.134460818,12.68726079,285.4381967,20.66800161,198.2111223,471.703674,47,1.833471058,1.010065716,18.40393709,5.438196748,5.748047381,0.520156327,0.82,16,1,1
1107,6.54796195,1.370023611,8.567134194,287.5449281,16.34786886,168.2102004,551.7061322,41,7.735874639,1.352298454,10.50147206,7.544928147,11.13487957,0.657938339,0.82,17,1,1
1108,6.493152983,1.010954723,15.69164712,288.6426145,17.36605625,267.5315551,898.3402699,35,0.483691512,1.301657208,37.29705511,8.642614453,8.162903267,0.812986505,1.052656073,12,1,1
1109,6.502072957,1.004950894,15.89869344,288.6369537,17.39624693,267.2073483,897.997194,34,0.507192213,1.343340933,37.27784286,8.6369537,8.184173974,0.830140302,1.044936864,12,1,1
1110,6.778648695,0.818794148,22.31844182,288.4614345,18.33234943,257.154884,887.3596656,28,1.235862907,2.635800631,36.68214127,8.461434482,8.843700734,1.362016721,0.805592476,15,1,1
1111,6.845477509,0.635271436,19.35059825,285.1771261,20.73421452,205.1499001,732.1161091,26,0.645103037,0.250870818,22.32191685,5.177126095,7.833596296,0.9566386,0.800955018,13,1,1
1112,6.572547214,1.385535742,8.29581825,287.6836593,16.06338224,166.2345989,556.9744029,41,8.124555948,1.374834946,9.981083979,7.683659277,11.4896098,0.667011472,0.82,17,1,1
1113,6.608383662,0.933395612,18.36632846,288.5694873,17.75606778,263.3433631,893.9083207,32,0.787280033,1.840139036,37.04886596,8.569487291,8.437684117,1.034583966,0.952937215,13,1,1
1114,6.565572405,0.962210881,17.37261333,288.596656,17.61116814,264.8993876,895.5549075,33,0.674488837,1.64007874,37.14107482,8.596655974,8.335595736,0.952254626,0.989985418,13,1,1
1115,6.82907338,1.767292064,24.61366898,296.2157839,15.50801439,119.9615274,879.205754,154,1.397015839,1.503982706,17.79876273,16.21578391,6.82,0.847352513,0.905234524,18,1,1
1116,6.331631968,1.104702933,16.25284755,286.6725619,21.3,175.0408148,309.5061561,64,1.887071861,1.110493844,15.41201343,6.6725619,6.417909113,0.537623461,0.904652787,16,1,1
1117,6.783543487,0.805425461,21.78782631,285.1258449,15.76584487,218.0584487,826.7267105,66,1.899819869,0.67100013,25.0826092,5.125844866,7.098037367,0.771080789,0.560090066,12,1,1
1118,6.763242058,0.817993012,21.24645488,284.7758869,15.4158869,214.558869,820.9263023,71,1.917221093,0.359711555,23.86452347,4.775886903,6.85828716,0.666673441,0.551389453,12,1,1
1119,6.76344109,0.817869802,21.25176239,284.7793178,15.41931783,214.5931783,820.9831685,71,1.917050495,0.362763376,23.87646538,4.779317832,6.860637631,0.667697033,0.551474753,12,1,1
1120,6.883315813,0.832871468,21.33500709,283.9368706,18.69094609,217.4683703,723.7075971,16,0.565222172,0.187806978,9.00283379,3.936870571,6.269613059,0.910391784,0.876631626,16,1,1
1121,6.469143548,1.107758746,18.17800967,287.6748685,21.3,157.1337513,211.7201438,75,2.482955374,1.208279856,12.71678646,7.674868526,7.365211107,0.562069964,0.959657419,16,1,1
1122,6.867499983,1.658676524,23.50191228,294.3008833,16.01294095,119.0308822,919.7058648,153,2.124558498,1.290588337,17.38029427,14.30088327,7.230293936,0.772794152,0.929852932,19,1,1
1123,6.176766568,1.101261479,14.08473196,285.5437652,21.3,195.2077313,419.6326625,52,1.215988463,1.000367337,18.44737526,5.543765209,5.351058582,0.510091834,0.842706627,16,1,1
1124,6.540387175,0.979162478,16.7880254,288.6126389,17.52592582,265.8147738,896.5235702,33,0.608135443,1.522386223,37.19531993,8.612638908,8.275538649,0.903821491,1.011780329,13,1,1
1125,6.889575262,0.865559701,21.6632804,283.7316997,18.35293586,219.5061686,722.3166085,14,0.55200778,0.177374563,6.799507798,3.731699748,6.010889173,0.902741347,0.889150524,17,1,1
1126,6.826099085,1.726501737,24.46495425,295.7207763,15.5016409,124.0108171,876.6563586,151,1.419535499,1.452569898,18.05157777,15.72077629,6.82,0.838854529,0.889938151,18,1,1
1127,6.22465368,1.102325637,14.75515152,285.892809,21.3,188.9717652,385.5796052,56,1.423499281,1.034420395,17.50878787,5.892809046,5.680947574,0.518605099,0.861861472,16,1,1
1128,6.587225848,1.394797261,8.133829036,287.7664887,15.89352947,165.0550658,560.1198245,41,8.356618166,1.388290361,9.67038622,7.766488713,11.70140152,0.672428587,0.82,17,1,1
1129,6.824739148,0.779923384,22.88637729,285.8359796,16.47597961,225.1597961,838.4968996,57,1.864509301,1.302666943,27.55434891,5.835979607,7.584538515,0.982944192,0.577745349,13,1,1
1130,6.78599518,1.176505331,22.45975902,289.0463407,15.41570396,178.6094187,842.2815832,103,1.723179349,0.759345261,21.46040967,9.046340731,6.82,0.724271944,0.683689499,14,1,1
1131,6.815946883,1.587271537,23.95734415,294.0311598,15.47988618,137.8323151,867.9544711,139,1.496402172,1.277081834,18.91451495,14.0311598,6.82,0.809848237,0.837726826,17,1,1
1132,6.941679292,1.485877095,5.665199605,289.4388527,12.93206827,142.2450762,652.2138055,36,12.59747211,1.556563961,5.814219967,9.438852665,16.12976593,0.833206231,0.809007575,17,1,1
1133,6.946507484,1.403064021,21.06197475,289.9415282,17.07257097,119.7280072,1003.360866,147,3.672176016,0.807248331,16.66457926,9.94152822,8.094728946,0.61013165,0.971680433,19,1,1
1134,6.691396598,0.87752152,20.29318643,288.516806,18.03703464,260.3261621,890.7155154,30,1.005987192,2.228064873,36.87006887,8.516806005,8.635638042,1.194224228,0.881099098,14,1,1
1135,6.950649612,0.701978812,26.24398965,288.0064362,18.64643617,246.8643617,874.4713177,28,1.756586047,3.233294049,35.10897671,8.006436166,9.071481131,1.630483718,0.631706977,17,1,1
1136,6.879340474,0.746122564,24.34241263,286.7772025,17.41720245,234.5720245,854.0972782,44,1.817708165,2.139887265,30.83042843,6.777202453,8.229354167,1.263751008,0.601145917,15,1,1
1137,6.58653715,0.948099995,17.85923731,288.5833514,17.68212574,264.1373997,894.7485712,32,0.729722876,1.738048604,37.09591998,8.583351424,8.385588588,0.992571442,0.971842851,13,1,1
1138,6.842282965,0.618588817,19.18306217,285.2818361,20.90671989,204.1098986,732.8260078,27,0.651847074,0.256195058,23.44639631,5.281836146,7.965637445,0.960543043,0.79456593,12,1,1
1139,6.148831561,1.100640701,13.69364186,285.34015,21.3,198.84549,439.4975565,50,1.094936765,0.980502443,18.9949014,5.340150045,5.158617421,0.505125611,0.831532624,16,1,1
1140,6.447600181,1.107280004,17.87640254,287.5178413,21.3,159.9391764,227.0398711,74,2.389600786,1.192960129,13.13903645,7.517841321,7.216801249,0.558240032,0.951040073,16,1,1
1141,6.789243216,1.5222606,5.904423085,288.9064439,13.55589993,148.8215273,603.4092605,38,11.55041655,1.573472948,5.394351937,8.906443859,14.61622354,0.746982615,0.82,18,1,1
1142,6.843046573,0.622576549,19.22310918,285.2568068,20.86548504,204.3584955,732.6563171,27,0.650235012,0.254922378,23.17760621,5.256806765,7.934074971,0.959609744,0.796093147,12,1,1
1143,6.860103092,0.763969073,24.2091237,288.4097423,18.60804124,254.1943299,884.2268041,26,1.450463916,3.016443296,36.50670103,8.409742268,9.037938143,1.518659793,0.735103093,16,1,1
1144,6.547967814,0.974060125,16.96398368,288.6078281,17.55158337,265.5392468,896.2320072,33,0.628107509,1.557811129,37.1789924,8.607828118,8.293615556,0.918399642,1.005220161,13,1,1
1145,6.672086407,0.890518764,19.84496719,288.5290605,17.97167707,261.0280133,891.4582151,30,0.955112266,2.137826865,36.91166005,8.529060549,8.589590664,1.157089245,0.89780984,14,1,1
1146,6.795597829,1.308198791,22.93989143,290.6444957,15.43628106,165.5360992,850.5124244,114,1.650473584,0.925333893,20.64418458,10.64449575,6.82,0.751708081,0.733074547,15,1,1
1147,6.792720406,0.799744511,22.03254416,285.2840375,15.92403747,219.6403747,829.3486874,64,1.891953938,0.811712891,25.63322436,5.284037474,7.206412413,0.818276373,0.564023031,12,1,1
1148,6.340901242,1.104908916,16.38261739,286.7401246,21.3,173.8337494,302.9146723,65,1.927238716,1.117085328,15.23033566,6.740124609,6.481764112,0.539271332,0.908360497,16,1,1
1149,6.134412571,1.100320279,13.491776,285.2350516,21.3,200.7231629,449.7510604,49,1.032454476,0.97024894,19.2775136,5.235051631,5.059286602,0.502562235,0.825765029,16,1,1
1150,6.95023296,1.391011011,20.94692329,289.7359696,17.12253617,119.7608791,1007.305487,147,3.745151514,0.784457185,16.63083083,9.73596961,8.135490035,0.602461553,0.973652744,19,1,1
1151,6.842698591,0.775683641,23.80513845,288.4207874,18.54913369,254.8269166,884.896208,26,1.40460975,2.935110724,36.54418765,8.420787433,8.996435102,1.485189598,0.750164681,16,1,1
1152,6.261457984,1.103143511,15.27041178,286.1610715,21.3,184.1790269,359.4076555,59,1.582984599,1.060592344,16.78742351,6.161071531,5.934488337,0.525148086,0.876583194,16,1,1
1153,6.679291022,0.885669505,20.01219737,288.5244884,17.99606192,260.7661533,891.1811146,30,0.974093653,2.171494582,36.89614241,8.52448839,8.606770898,1.170944272,0.891575077,14,1,1
1154,6.893420258,0.885639125,21.86492908,283.6056693,18.14530607,220.7579284,721.4621649,13,0.543890567,0.170966237,5.446069201,3.605669323,5.851962671,0.898041907,0.896840516,17,1,1
1155,6.91954194,1.31172993,7.653133764,288.917887,14.56580481,150.8786433,666.9720398,36,10.60068301,1.346997035,10.68886475,8.917886994,14.9815753,0.861246876,0.795725164,16,1,1
1156,6.908991403,0.731063479,25.34389661,288.378717,18.77350936,252.4174278,882.3464845,25,1.579265812,3.244902134,36.40140313,8.378716994,9.154517961,1.612675775,0.692795901,17,1,1
1157,6.536670128,1.109259336,19.12338179,288.1670623,21.3,148.34029,163.7012423,81,2.775570554,1.256298758,11.39326549,8.167062266,7.830394215,0.574074689,0.986668051,16,1,1
1158,6.896911598,0.739194117,25.06350574,288.386383,18.73262387,252.8564823,882.8110924,25,1.547440171,3.188452273,36.42742117,8.386383025,9.125712271,1.58944538,0.703249579,17,1,1
1159,6.271270957,1.103361577,15.40779339,286.2325972,21.3,182.9011598,352.4295418,60,1.625507479,1.067570458,16.59508925,6.232597196,6.002088813,0.526892615,0.880508383,16,1,1
1160,6.872204956,0.755823587,24.49002657,288.4020622,18.64900139,253.7544737,883.7613478,26,1.482347673,3.072996237,36.48063548,8.402062239,9.066796434,1.541932608,0.724630327,16,1,1
1161,6.866596335,0.8952245,12.40764913,287.6719004,18.47319049,171.5274294,702.2691101,36,5.824989399,0.845778636,22.34748708,7.671900412,12.23546323,0.928311309,0.763957801,13,1,1
1162,6.401059572,1.106245768,17.22483401,287.178612,21.3,165.9997979,260.1354152,70,2.187924814,1.159864585,14.05123238,7.178611994,6.896188166,0.549966146,0.932423829,16,1,1
1163,6.792410588,1.264488065,22.7805294,290.1140479,15.42945126,169.8752994,847.7805041,110,1.674605547,0.870240165,20.91510001,10.11404787,6.82,0.74260168,0.716683024,15,1,1
1164,6.872149363,0.750574204,24.15064968,286.6532414,17.2932414,233.332414,852.0426752,46,1.823871974,2.029623568,30.39896179,6.653241402,8.144430574,1.226768153,0.598064013,15,1,1
1165,6.865105827,0.737774875,20.37999449,284.5337534,19.67428533,211.5400082,727.7542606,21,0.603665476,0.218156955,15.41274884,4.533753443,7.022292478,0.932648433,0.840211654,14,1,1
1166,6.840941756,0.611584725,19.1127232,285.325798,20.97914518,203.6732605,733.1240542,27,0.654678515,0.258430407,23.91850191,5.325798,8.021074088,0.962182298,0.791883512,12,1,1
1167,6.893033402,1.576068404,22.71338022,292.8920393,16.35538916,119.2561771,946.7412497,151,2.624713119,1.134383891,17.14899153,12.89203932,7.50965958,0.720225348,0.943370625,19,1,1
1168,6.681648408,0.884082802,20.06691594,288.5229924,18.00404077,260.6804713,891.0904458,30,0.98030446,2.182510831,36.89106497,8.522992356,8.612392358,1.175477708,0.889535031,14,1,1
1169,6.887149902,0.852893934,21.53608376,283.8111976,18.48390528,218.7165793,722.8555773,15,0.557127984,0.18141683,7.653234393,3.811197647,6.111137372,0.905705675,0.884299805,16,1,1
1170,6.462543776,1.031557074,14.98116035,288.6620395,17.26245586,268.644082,899.5175471,35,0.403048026,1.158618032,37.36298264,8.662039527,8.089912082,0.754122647,1.079144809,12,1,1
1171,6.966625488,1.337976362,20.44068346,288.8314878,17.3423889,119.905519,1024.662281,146,4.066252206,0.684173485,16.48233381,8.83148778,8.314843574,0.568712231,0.982331141,19,1,1
1172,6.812152864,1.535239283,23.76764322,293.3997267,15.47175614,142.9976004,864.7024552,134,1.525128313,1.211499513,19.23700653,13.39972671,6.82,0.799008184,0.818214731,17,1,1
1173,6.452991459,1.10739981,17.95188043,287.5571377,21.3,159.2371122,223.2060733,74,2.412962991,1.196793927,13.0333674,7.557137749,7.253941165,0.559198482,0.953196584,16,1,1
1174,6.85205514,0.669621286,19.69555845,284.961526,20.37902245,207.2912844,730.6544134,24,0.631216927,0.2399081,20.00659076,4.96152597,7.561720884,0.948599273,0.81411028,13,1,1
1175,6.827973855,0.543863468,18.43262887,285.750857,21.6794118,199.4514885,736.0058099,31,0.682055194,0.280043574,28.48320287,5.750856959,8.55708064,0.978031954,0.765947711,11,1,1
1176,6.838785037,1.751577821,24.38869738,295.8852727,15.62782285,118.777515,889.301804,155,1.562083373,1.466256244,17.6404179,15.88527266,6.916118641,0.831913159,0.914650902,19,1,1
1177,6.896706825,0.902802308,22.03729127,283.497943,17.96783145,221.8278886,720.7318167,12,0.536952258,0.165488625,4.289197601,3.497942958,5.7161179,0.894024992,0.90341365,17,1,1
1178,6.85802717,1.689323863,23.79445506,294.8235597,15.8858938,118.9472986,909.6758266,154,1.939002792,1.348539669,17.46610682,14.8235597,7.126650208,0.792297004,0.924837913,19,1,1
1179,6.801753867,0.803242589,22.85474842,288.4467716,18.41055155,256.3150998,886.4710051,27,1.29673615,2.74377288,36.63237629,8.446771584,8.898797684,1.406449745,0.785597615,16,1,1
1180,6.846164047,1.727704554,24.1608162,295.4781249,15.72678839,118.8426239,897.1148732,154,1.706625153,1.421114066,17.57357275,15.47812494,6.996853689,0.81672108,0.918557437,19,1,1
1181,6.537713914,1.109282531,19.13799479,288.1746703,21.3,148.2043659,162.9589946,81,2.780093626,1.257041005,11.37280729,8.174670305,7.83758474,0.574260251,0.987085566,16,1,1
1182,6.801173652,0.794511549,22.25796406,285.4297553,16.06975534,221.0975534,831.7639006,62,1.884708298,0.941329333,26.14041913,5.429755337,7.306241225,0.861750211,0.567645851,13,1,1
1183,6.593052723,0.943714513,18.01047378,288.5792165,17.70417845,263.9005837,894.4979722,32,0.746888905,1.768496378,37.08188644,8.579216541,8.401125724,1.00510139,0.966204374,13,1,1
1184,6.281564691,1.103590326,15.55190568,286.3076271,21.3,181.5606869,345.109553,60,1.670113662,1.074890447,16.39333205,6.307627082,6.073001206,0.528722612,0.884625876,16,1,1
1185,6.816811886,0.503586834,16.87829267,286.5003064,22.14728284,190.9433646,735.4587429,36,1.334432087,0.374485851,33.31002278,6.500306376,9.653309803,0.991371611,0.734087131,10,1,1
1186,6.904539162,1.595006852,4.632049961,289.5570424,12.22176112,139.5566745,628.1155347,36,13.37319056,1.679160899,2.953921069,9.557042415,16.27977934,0.78953231,0.82,18,1,1
1187,6.883345661,1.607411095,23.01256046,293.4265747,16.22545946,119.170697,936.4836415,152,2.434947368,1.193650071,17.23675107,13.42657468,7.403664296,0.740170697,0.938241821,19,1,1
1188,6.917849466,0.722283664,25.36931911,287.4410241,18.08102414,241.2102414,865.0998476,35,1.784700457,2.730358486,33.14096799,7.441024136,8.684127033,1.461797256,0.617649771,16,1,1
1189,6.861356646,0.75725541,23.86284389,286.4671955,17.10719552,231.4719552,848.9590417,48,1.833122875,1.864135239,29.75139876,6.467195517,8.016973725,1.171262751,0.593438563,14,1,1
1190,6.90547431,0.729944475,25.03931492,287.2277,17.8677,239.077,861.5640885,38,1.795307735,2.54060608,32.39845857,7.227700003,8.537982323,1.398153592,0.612346133,16,1,1
1191,6.670474622,0.89160362,19.80755517,288.5300834,17.9662218,261.0865955,891.5202068,30,0.950865831,2.130294869,36.91513158,8.530083413,8.585747176,1.153989658,0.899204654,14,1,1
1192,6.807904206,1.476971965,23.55521029,292.6926285,15.46265187,148.7818455,861.0607478,129,1.557296727,1.138058415,19.59814251,12.69262854,6.82,0.786869159,0.796364487,16,1,1
1193,6.289926818,1.103776152,15.66897545,286.3685777,21.3,180.4717521,339.1631516,61,1.706349545,1.080836848,16.22943437,6.368577696,6.130606969,0.530209212,0.887970727,16,1,1
1194,6.848359424,0.650321439,19.50173871,285.0826633,20.57859108,206.0881238,731.4756834,25,0.639018993,0.246067626,21.30748258,5.082663308,7.714477121,0.953116259,0.806718849,13,1,1
1195,6.85562311,0.8089018,13.3930447,287.4136639,19.28301447,175.806987,709.5845932,36,4.83520454,0.741898777,24.76379113,7.41366386,11.66631865,0.942210727,0.757373866,12,1,1
1196,6.710523657,0.864647539,20.73715488,288.5046677,18.10177238,259.6309671,889.9798594,29,1.056379634,2.317447088,36.82887212,8.504667679,8.68124872,1.231007032,0.864546836,15,1,1
1197,6.840570247,1.745802141,24.33356589,295.7867711,15.65176567,118.7932669,891.1920265,155,1.59705249,1.455334958,17.624246,15.78677107,6.93565094,0.828237726,0.915596013,19,1,1
1198,6.870032,1.573234476,5.012861146,289.3623234,12.62105829,142.3295714,620.7211428,37,12.82764876,1.647529333,3.684322672,9.362323427,15.78189028,0.776797524,0.82,18,1,1
1199,6.544314119,1.367722003,8.607390619,287.524344,16.39007948,168.5033298,550.924454,41,7.678204162,1.348954609,10.57868449,7.524343955,11.08224657,0.656592115,0.82,17,1,1
1200,6.908685319,1.52542985,22.2300122,292.0284218,16.56530899,119.3942822,963.3138673,150,2.931306544,1.038630989,17.00720358,12.02842181,7.680909962,0.688000814,0.951656934,19,1,1
1201,6.821626201,0.510714604,18.09972964,285.958919,22.02218516,197.3849743,737.4163998,32,0.695455798,0.290622999,30.71757733,5.958918975,8.819450368,0.985790199,0.753252402,11,1,1
1202,6.529198456,0.986693347,16.52831802,288.6197394,17.48805631,266.2214407,896.9539055,34,0.578657472,1.470100479,37.21941871,8.619739441,8.248857858,0.882304724,1.021462874,12,1,1
1203,6.497350533,1.008129449,15.78907871,288.6399506,17.38026334,267.3789902,898.1788257,34,0.494750442,1.321272682,37.28801424,8.639950623,8.172912809,0.821058717,1.049023577,12,1,1
1204,6.876291944,0.796191264,20.96664419,284.1670974,19.07023501,215.1817107,725.2684568,18,0.58005034,0.199513426,11.47523564,4.167097384,6.559932973,0.918976513,0.862583888,15,1,1
1205,6.881026796,0.820917715,21.21496088,284.0118995,18.81455299,216.7231682,724.2162675,17,0.570054541,0.191622006,9.808567656,4.01189945,6.364225747,0.913189471,0.872053593,16,1,1
1206,6.92723018,1.465431771,21.65730327,291.0051818,16.81402829,119.5579134,982.9496022,149,3.294567641,0.925180076,16.83920896,11.00518184,7.883812556,0.649820218,0.961474801,19,1,1
1207,6.811934166,1.532239995,23.75670831,293.3633291,15.4712875,143.2953422,864.5149997,134,1.52678417,1.20771916,19.25559587,13.3633291,6.82,0.798383332,0.817089998,17,1,1
1208,6.144719187,1.100549315,13.63606862,285.3101754,21.3,199.3810125,442.4219114,49,1.077116478,0.977578089,19.07550393,5.310175408,5.130287734,0.504394522,0.829887675,16,1,1
1209,6.649863216,0.905476682,19.32913272,288.5431637,17.89646011,261.8357408,892.3129532,31,0.896562703,2.03397618,36.95952538,8.543163729,8.536596899,1.114352338,0.917041448,14,1,1
1210,6.607518451,1.407600927,7.909885671,287.880997,15.65871507,163.4244102,564.4682394,41,8.677434552,1.406891913,9.240859463,7.880996971,11.99419479,0.679917523,0.82,17,1,1
1211,6.909798177,1.521829429,22.19564455,291.9670183,16.58023437,119.4041016,964.4921869,150,2.953105457,1.03182292,16.9971224,11.96701826,7.693085931,0.685709637,0.952246093,19,1,1
1212,6.604878581,0.935754801,18.28497015,288.5717117,17.74420443,263.4707593,894.0431315,32,0.778045493,1.823759525,37.05641536,8.571711669,8.429325848,1.027843426,0.955970458,13,1,1
1213,6.372196521,1.105604367,16.82075129,286.9682324,21.3,169.7584086,280.6602517,68,2.062851591,1.139339748,14.61694819,6.96823242,6.697353812,0.544834937,0.920878608,16,1,1
1214,6.190577471,1.101568388,14.27808459,285.6444313,21.3,193.4092449,409.8115763,53,1.275835707,1.010188424,18.17668157,5.644431343,5.446200355,0.512547106,0.848230988,16,1,1
1215,6.969939165,1.327255644,20.33834933,288.6486508,17.38683115,119.9347573,1028.17088,146,4.131161285,0.663901581,16.4523158,8.648650795,8.351099096,0.561889955,0.98408544,19,1,1
1216,6.826185248,0.53452296,18.33882632,285.8094835,21.77599663,198.8691973,736.4032783,31,0.685831144,0.283024587,29.11279283,5.80948355,8.631009764,0.980218031,0.762370495,11,1,1
1217,6.886567216,1.052328768,10.61426398,288.1418818,16.99933944,163.7387857,688.9551892,36,7.626362904,1.034836314,17.94989898,8.141881822,13.27128628,0.903014859,0.77594033,14,1,1
1218,6.569554888,0.959530364,17.46505288,288.5941286,17.62464731,264.7546397,895.4017351,33,0.684981147,1.658689187,37.13249716,8.594128629,8.345092425,0.959913246,0.986539039,13,1,1
1219,6.151831761,1.120084325,12.93871378,285.3096221,20.93166105,200.0420907,466.8210916,47,1.47324498,0.989179114,18.88622773,5.309622079,5.419286834,0.511747436,0.82,16,1,1
1220,6.496082689,1.008982806,15.7596501,288.6407552,17.37597218,267.4250715,898.2275889,34,0.491410161,1.315347949,37.29074498,8.640755217,8.169889488,0.818620555,1.05012075,12,1,1
1221,6.596598841,1.400711173,8.030391365,287.8193792,15.78507056,164.3018789,562.128323,41,8.50480072,1.396882271,9.471991205,7.819379173,11.83664042,0.675887667,0.82,17,1,1
1222,6.309020769,1.104200462,15.93629076,286.5077514,21.3,177.9852954,325.5852311,63,1.789089998,1.094414769,15.85519293,6.507751381,6.262143074,0.533603692,0.895608308,16,1,1
1223,6.877842049,0.74705016,24.30245465,286.7513725,17.39137247,234.3137247,853.6691569,45,1.818992529,2.116911421,30.74052295,6.751372467,8.211658486,1.256044824,0.600503735,15,1,1
1224,6.319515214,1.104433671,16.083213,286.5842442,21.3,176.6186854,318.1225143,63,1.834565928,1.101877486,15.6495018,6.584244228,6.334438142,0.535469371,0.899806086,16,1,1
1225,6.215075232,1.102112783,14.62105324,285.8229928,21.3,190.2190921,392.3909464,55,1.38199267,1.027609054,17.69652546,5.822992799,5.614962707,0.516902263,0.858030093,16,1,1
1226,6.459135953,1.313978637,9.547392518,287.0436957,17.37571254,175.3480038,532.6719899,43,6.331577924,1.270874624,12.38162233,7.043695735,9.853247322,0.625157316,0.82,17,1,1
1227,6.927737669,0.716162395,25.63300452,287.6114779,18.25147792,242.9147792,867.9250484,33,1.776224855,2.881977599,33.73426017,7.611477922,8.800902002,1.512650872,0.621887573,16,1,1
1228,6.904497744,0.734088057,25.23959186,288.3815687,18.75830006,252.5807551,882.5193175,25,1.567426748,3.223902918,36.41108178,8.381568739,9.143802312,1.604034123,0.696684645,17,1,1
1229,6.825359606,0.530211278,18.29552602,285.8365462,21.82058126,198.6004052,736.5867541,31,0.687574164,0.284400656,29.40341856,5.836546236,8.665136271,0.981227148,0.760719213,11,1,1
1230,6.508122236,1.000879264,16.03910651,288.6331147,17.41672141,266.9874803,897.7645294,34,0.523129737,1.371609679,37.26481365,8.633114735,8.198599178,0.84177353,1.039701911,12,1,1
1231,6.89268443,0.881796468,21.826339,283.6297881,18.18504077,220.5183756,721.6256822,13,0.545443981,0.172192616,5.705080597,3.629788124,5.882376888,0.898941252,0.89536886,17,1,1
1232,6.86727072,0.749080424,20.49353107,284.4627931,19.55738114,212.2448009,727.2731734,20,0.599095148,0.214548801,14.65070671,4.462793081,6.932810258,0.930002454,0.844541439,15,1,1
1233,6.459329353,1.314100663,9.545258216,287.0447871,17.37347463,175.3324627,532.7134327,43,6.334635479,1.271051907,12.3775287,7.044787061,9.856037802,0.62522869,0.82,17,1,1
1234,6.501189358,1.005545624,15.87818376,288.6375144,17.39325629,267.2394637,898.0311785,34,0.504864271,1.339211809,37.279746,8.637514446,8.182066931,0.828441074,1.045701517,12,1,1
1235,6.348816659,1.105084815,16.49343322,286.7978192,21.3,172.8029862,297.2859314,66,1.961538855,1.122714069,15.07519349,6.797819203,6.536292539,0.540678517,0.911526664,16,1,1
1236,6.804999994,1.43714277,23.40999968,292.2092847,15.45642856,152.7357229,858.5714231,125,1.579285762,1.087857033,19.84500054,12.20928466,6.82,0.77857141,0.781428539,16,1,1
1237,6.724616146,0.855162209,21.06426324,288.4957244,18.14947003,259.1187593,889.4378405,29,1.093507924,2.383302376,36.79851907,8.495724369,8.714853887,1.258107974,0.852351412,15,1,1
1238,6.709994558,1.472258471,6.778988623,288.459255,14.47292011,155.189723,586.4274054,39,10.29753302,1.500828345,7.071781847,8.459255008,13.47277863,0.717736087,0.82,18,1,1
1239,6.846395349,0.766517165,23.46387597,286.2092913,16.84929125,228.8929125,844.6843854,52,1.845946844,1.634728682,28.85372093,6.209291251,7.840287929,1.094318937,0.587026578,14,1,1
1240,6.888551066,0.740420769,24.58802843,286.9359755,17.57597552,236.1597552,856.728876,42,1.809813372,2.281116346,31.38306396,6.935975519,8.338126875,1.311119768,0.605093314,15,1,1
1241,6.021708979,1.31456234,12.60359415,522.6032305,21.3,75.21595279,639.8446383,119,8.139331249,1.120310723,15.11553053,11.25037322,6.2,2.610755978,1.087203489,12,1,2
1242,6.386528057,0.180415829,20.659374,505.6741382,16.69396823,97.38316572,180,108,1.400290628,0.845135257,31.2681064,43.0485916,8.085781373,0.443597143,0.698752514,14,1,2
1243,6.360157955,0.306996518,16.54693845,506.5475959,16.69027876,66.42037174,257.5098722,100,0.802016263,1.070652732,32.16284553,17.08726827,6.82,0.839407668,0.955177699,12,1,2
1244,6.291055189,0.737147894,23.43886096,513.3932408,20.1161987,88.67947026,718.1368649,28,2.092975728,1.052110378,35.91834478,33.74156775,6.588971254,1.183849891,0.631615892,11,1,2
1245,6.147463586,1.125282773,15.46426304,549.1831618,12.99140963,96.66418167,776.3581833,42,3.086533832,1.235167108,63.69380443,11.90862467,6.314794423,1.713371888,0.713611825,10,1,2
1246,6.043672965,1.202271213,16.23410769,550.412112,12.0536989,96.22602199,828.8254897,35,3.383218481,0.780051872,65.61418068,12.00620354,4.041064584,1.804185503,0.736658021,10,1,2
1247,6.103505461,1.054300806,13.25424799,518.4502,21.3,85.55205372,632.4085944,101,5.235556132,1.135182811,13.94435363,12.70411979,6.2,2.16831137,0.9533547,13,1,2
1248,6.057085074,0.62040448,14.369776,509.5587866,18.69076891,73.21479219,340,70,0.681659703,1.404170149,11.40258066,3.629832868,7.337098425,0.506638811,0.718702994,13,1,2
1249,6.720145011,1.286522614,10.9389418,528.51653,18.11450396,88.16218217,470.4350326,113,3.02827712,2.349564967,20.63055129,11.44015076,15.42314711,1.343631022,0.912610196,13,1,2
1250,6.001409119,0.880022843,16.91388739,530.5199279,20.28195467,74.23318999,228.7727313,48,1.744204515,1.939136433,19.65470885,6.856091551,6.471954671,1.648613724,0.690522709,12,1,2
1251,6.063515589,0.592968821,14.52868062,509.1313331,18.76458629,50.16263132,361.0935359,67,0.87390418,1.46273384,11.82084942,3.631247145,7.842033463,0.46,0.671640304,11,1,2
1252,6.06717684,0.585646321,13.63167431,508.6224193,21.1334152,36.68923042,383.0610374,49,1.086256694,1.517652593,12.84233824,3.924147165,7.615035947,0.46,0.704591556,11,1,2
